time,play,quarter,home_team,away_team,name,assister,stage,game_num,win_difference,games_played,win_percentage,home_score,away_score,score_difference
11:40,makes 25-foot three point jumper,1st,CELTICS,76ERS,Kristaps Porzingis,Jayson Tatum,PS,None,1,1,100.0,3,0,3
11:20,makes 12-foot two point shot,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,3,2,1
11:09,misses 21-foot pullup jump shot,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,3,2,1
11:06,defensive rebound,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,3,2,1
10:50,makes 15-foot two point shot,1st,CELTICS,76ERS,Patrick Beverley,None,PS,None,1,1,0.0,3,4,1
10:37,lost ball turnover,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,3,4,1
10:34,makes two point shot,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,3,6,3
10:34,shooting foul,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,3,6,3
10:34,makes free throw 1 of 1,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,3,7,4
10:22,misses 25-foot three point jumper,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,3,7,4
10:17,defensive rebound,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,3,7,4
10:11,misses 27-foot three point pullup jump shot,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,3,7,4
10:09,defensive rebound,1st,CELTICS,76ERS,Kristaps Porzingis,None,PS,None,1,1,100.0,3,7,4
10:03,misses 25-foot three point shot,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,3,7,4
9:59,defensive rebound,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,3,7,4
9:54,misses driving floating jump shot,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,3,7,4
9:52,defensive rebound,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,3,7,4
9:43,misses 25-foot three point jumper,1st,CELTICS,76ERS,Al Horford,None,PS,None,1,1,100.0,3,7,4
9:41,defensive rebound,1st,CELTICS,76ERS,Tobias Harris,None,PS,None,1,1,0.0,3,7,4
9:35,misses 27-foot three point jumper,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,3,7,4
9:30,offensive rebound,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,3,7,4
9:27,misses driving layup,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,3,7,4
9:14,personal foul,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,3,7,4
9:12,makes 4-foot layup,1st,CELTICS,76ERS,Jaylen Brown,Al Horford,PS,None,1,1,100.0,5,7,2
9:12,personal foul,1st,CELTICS,76ERS,Paul Reed,None,PS,None,1,1,0.0,5,7,2
9:12,misses free throw 1 of 1,1st,CELTICS,76ERS,Jaylen Brown,None,PS,None,1,1,100.0,5,7,2
9:10,defensive rebound,1st,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,5,7,2
8:48,makes 26-foot three pointer,1st,CELTICS,76ERS,Tyrese Maxey,None,PS,None,1,1,0.0,5,10,5
8:37,misses 14-foot pullup jump shot,1st,CELTICS,76ERS,Jayson Tatum,None,PS,None,1,1,100.0,5,10,5
8:34,defensive rebound,1st,CELTICS,76ERS,P.J. Tucker,None,PS,None,1,1,0.0,5,10,5
8:26,makes 29-foot three point jumper,1st,CELTICS,76ERS,Tyrese Maxey,P.J. Tucker,PS,None,1,1,0.0,5,13,8
